,class,text,word_count,question_mark,exclamation_mark,start_digit,start_question,longest_word_len,avg_word_len,ratio_stopwords
0,0,"['argentina', 'set', 'default', 'debt', 'second', 'time', '13', 'year']",0.5714285714285714,0.0,0.0,0.0,0.0,0.3846153846153846,0.15299407909485319,0.5768711564421779
1,0,"['man', 'lead', 'four', 'separate', 'life', 'admits', 'fraud', 'land', 'deal']",0.6190476190476191,0.0,0.0,0.0,0.0,0.3076923076923077,0.15226880118154362,0.42852857357132146
2,0,"['appeal', 'issue', 'miss', 'cork', 'man']",0.23809523809523808,0.0,0.0,0.0,0.0,0.23076923076923084,0.25273957248163736,0.25003749812509374
3,0,"['newly', 'appoint', 'chartered', 'land', 'chief', 'executive', 'target', 'international', 'investor']",0.42857142857142855,0.0,0.0,0.0,0.0,0.6923076923076923,0.5516463808632125,0.14999250037498127
4,0,"['man', 'face', 'sentence', 'sexual', 'assault', 'make', 'suicide', 'attempt']",0.38095238095238093,0.0,0.0,0.0,0.0,0.3076923076923077,0.37728957050360656,0.1666416679166042
5,0,"['international', 'search', 'begin', 'fill', 'top', 'garda', 'job']",0.3333333333333333,0.0,0.0,0.0,0.0,0.6923076923076923,0.3076892645681959,0.18749062546872658
6,0,"['israeli', 'embassy', 'say', 'offence', 'intend', 'molly', 'malone', 'image']",0.42857142857142855,0.0,0.0,0.0,0.0,0.3076923076923077,0.35384331359698284,0.29998500074996254
7,0,"['parents', 'terminally', 'ill', 'baby', 'want', 'bring', 'home']",0.42857142857142855,0.0,0.0,0.0,0.0,0.46153846153846156,0.1956008597839991,0.4499775011249438
8,0,"['interim', 'examiner', 'appoint', 'flynn', 'construction']",0.23809523809523808,0.0,0.0,0.0,0.0,0.6153846153846154,0.35714003138475336,0.37498125093745316
9,0,"['reports', 'ceasefire', 'gaza', 'retract', 'israeli', 'television', 'station']",0.6666666666666665,0.0,0.0,0.0,0.0,0.46153846153846156,0.2571439874460987,0.7999100044997751
10,0,"['extradited', 'order', 'community', 'service', 'fraud']",0.38095238095238093,0.0,0.0,0.0,0.0,0.5384615384615385,0.435892025899015,0.4999250037498125
11,0,"['breaking', 'reports', 'come', 'evening', 'ceasefire', 'gaza']",0.5238095238095237,0.0,0.0,0.0,0.0,0.3846153846153846,0.2197723946039324,0.7499625018749063
12,0,"['european', 'share', 'advance', 'earnings', 'optimism']",0.23809523809523808,0.0,0.0,0.0,0.0,0.3076923076923077,0.4725251539567207,0.25003749812509374
13,0,"['judge', 'assault', 'case', 'critical', 'juvenile', 'justice', 'system']",0.38095238095238093,0.0,0.0,0.0,0.0,0.3076923076923077,0.33332454208589923,0.3332833358332084
14,0,"['gaza', 'power', 'plant', 'knock', 'israeli', 'airstrike']",0.42857142857142855,0.0,0.0,0.0,0.0,0.3846153846153846,0.3142827001437368,0.4499775011249438
15,0,"['gaa', 'coach', 'caught', 'drug', 'stillorgan', 'jail', 'seven', 'year']",0.4761904761904761,0.0,0.0,0.0,0.0,0.46153846153846156,0.26273522081415734,0.4090295485225739
16,0,"['ff', 'seek', 'debate', 'publication', 'gp', 'dentist', 'earnings']",0.42857142857142855,0.0,0.0,0.0,0.0,0.5384615384615385,0.24834834438832698,0.4499775011249438
17,0,"['ff', 'seek', 'debate', 'publication', 'gp', 'dentist', 'earnings']",0.42857142857142855,0.0,0.0,0.0,0.0,0.5384615384615385,0.24834834438832698,0.4499775011249438
18,0,"['man', 'attack', 'tourist', 'key', 'row', 'cycling', 'footpath']",0.4761904761904761,0.0,0.0,0.0,0.0,0.3076923076923077,0.22677462318515684,0.5453727313634319
19,0,"['talks', 'take', 'place', 'dispute', 'executive', 'pay', 'limerick', 'hospital', 'group']",0.5714285714285714,0.0,0.0,0.0,0.0,0.3846153846153846,0.26458138277530885,0.4615269236538173
20,0,"['smes', 'call', 'focus', 'competitiveness', 'budget', '2015']",0.42857142857142855,0.0,0.0,0.0,0.0,0.8461538461538463,0.22197460208616293,0.5999700014999251
21,0,"['planning', 'permission', 'grant', 'kerry', 'observatory']",0.23809523809523808,0.0,0.0,0.0,0.0,0.5384615384615385,0.5824113512586869,0.25003749812509374
22,0,"['ireland', 'rank', 'ninth', 'gender', 'equality', 'among', '27', 'eu', 'state']",0.4761904761904761,0.0,0.0,0.0,0.0,0.3076923076923077,0.2507483549378239,0.27268636568171595
23,0,"['stunning', 'poignant', 'first', 'world', 'war', 'picture', 'fr', 'browne']",0.42857142857142855,0.0,0.0,0.0,0.0,0.3076923076923077,0.2747220866904909,0.29998500074996254
24,0,"['farming', 'fishing', 'construction', 'dangerous', 'job', 'state']",0.42857142857142855,0.0,0.0,0.0,0.0,0.6153846153846154,0.35384331359698284,0.5999700014999251
25,0,"['government', 'deficit', 'fall', 'per', 'cent', 'gdp']",0.38095238095238093,0.0,0.0,0.0,0.0,0.46153846153846156,0.17215460287737527,0.3332833358332084
26,0,"['fitzgerald', 'ask', 'purcell', 'stay', 'go']",0.38095238095238093,0.0,0.0,0.0,0.0,0.46153846153846156,0.07091899305051891,0.5453727313634319
27,0,"['sermon', 'mount', 'reveals', 'deep', 'insecurity']",0.2857142857142857,0.0,0.0,0.0,0.0,0.6153846153846154,0.3500718684477734,0.42852857357132146
