,class,text,0,1,2,3,4,5,6,7
0,0,"['gardaí', 'break', 'gathering', '800', 'people', 'car', 'meet']",0.5833333333333333,0.0,0.0,0.0,0.0,0.2857142857142857,0.18043211010470694,0.4199916001679966
1,0,"['uk', 'want', 'substantial', 'move', 'brexit', 'fishery', 'talk']",0.41666666666666663,0.0,0.0,0.0,0.0,0.4285714285714286,0.36412836128813464,0.1749965000699986
2,0,"['christmas', 'carol', 'help', 'soothe', 'cow', 'wicklow', 'dairy', 'farm']",0.5,0.0,0.0,0.0,0.0,0.2857142857142857,0.3248738854583222,0.15553688926221476
3,0,"['sunlight', 'flood', 'inner', 'chamber', 'newgrange', 'tomb']",0.33333333333333326,0.0,0.0,0.0,0.0,0.2857142857142857,0.4145883084401363,0.20005599888002237
4,0,"['new', 'covid19', 'strain', 'control', 'uk', 'hancock']",0.5833333333333333,0.0,0.0,0.0,0.0,0.1428571428571429,0.19926804109143847,0.46661066778664423
5,0,"['one', 'arrest', '131500', 'drug', 'seizure', 'kildare']",0.41666666666666663,0.0,0.0,0.0,0.0,0.1428571428571429,0.2934759569868163,0.3499930001399972
6,0,"['stay', 'away', 'pub', 'restaurant', 'urge', 'holohan']",0.41666666666666663,0.0,0.0,0.0,0.0,0.4285714285714286,0.32880215913747546,0.3499930001399972
7,0,"['sinn', 'féin', 'take', 'lead', 'fine', 'gael', 'new', 'poll', 'suggest']",0.5833333333333333,0.0,0.0,0.0,0.0,0.2142857142857143,0.20869307182523433,0.1399972000559989
8,0,"['coast', 'guard', 'rescue', 'dog', 'clontarf']",0.25,0.0,0.0,0.0,0.0,0.2142857142857143,0.26992044539275684,0.2333753324933501
9,0,"['cork', 'river', 'get', 'long', 'concrete', 'beam', 'ireland']",0.41666666666666663,0.0,0.0,0.0,0.0,0.2142857142857143,0.32880215913747546,0.1749965000699986
10,0,"['ambulances', 'cross', 'border', 'amid', 'rise', 'covid19', 'case']",0.33333333333333326,0.0,0.0,0.0,0.0,0.3571428571428571,0.45497322273876983,0.0
