,Unnamed: 0,text,date,source,value
0,0,Cellphone in New Role: Loyalty Card,2010-06-01T00:00:30+0000,NY_TIMES,0
1,1,"Three Men and a Video Camera, Out to Reveal Urban Truths",2010-06-01T00:08:25+0000,NY_TIMES,0
2,2,Paterson Now Focuses on Layoffs to Cut Budget,2010-06-01T00:14:03+0000,NY_TIMES,0
3,3,"Iraq’s Psyche, Through a Green Zone Prism",2010-06-01T00:14:44+0000,NY_TIMES,0
4,4,Airline Reward Programs Pay Off Less Frequently,2010-06-01T00:16:30+0000,NY_TIMES,0
5,5,Throwing a Lifeline to a Teenager in Need,2010-06-01T00:17:30+0000,NY_TIMES,0
6,6,"Who Should Be Called Soldier, and Who Shouldn’t",2010-06-01T00:17:32+0000,NY_TIMES,0
7,7,Obama Improvises After Speech Rainout,2010-06-01T00:17:36+0000,NY_TIMES,0
8,8,Pletcher Adds a Colt to the Belmont Stakes,2010-06-01T00:17:58+0000,NY_TIMES,0
9,9,Make Kendra’s Law Permanent,2010-06-01T00:19:43+0000,NY_TIMES,0
10,10,Raid Complicates U.S. Ties and Push for Peace,2010-06-01T00:20:15+0000,NY_TIMES,0
11,11,Compromise Sought Over A.I.G. Unit,2010-06-01T00:23:37+0000,NY_TIMES,0
12,12,Gender Breakdown in Schools for Gifted: ‘It’s Kind of Weird’,2010-06-01T00:29:41+0000,NY_TIMES,0
13,13,Reform for the Next Census,2010-06-01T00:32:55+0000,NY_TIMES,0
14,14,"It’s Up to You, Mr. Holder",2010-06-01T00:35:51+0000,NY_TIMES,0
15,15,Louisianan Becomes Face of Anger on Spill,2010-06-01T00:39:28+0000,NY_TIMES,0
16,16,The Booming Voice of the Bayou,2010-06-01T00:39:41+0000,NY_TIMES,0
17,17,Gender Gap for the Gifted in City Schools ,2010-06-01T00:40:54+0000,NY_TIMES,0
18,18,So You Still Want to Choose Your Senator?,2010-06-01T00:41:53+0000,NY_TIMES,0
19,19,Backward at Bagram ,2010-06-01T00:47:48+0000,NY_TIMES,0
20,20,"Behind Unassuming Walls, a War of Words Among Co-op Board Members",2010-06-01T00:53:20+0000,NY_TIMES,0
21,21,A Private School’s Ads Imply Public School Slippage,2010-06-01T00:54:20+0000,NY_TIMES,0
22,22,"Owners Stop Paying Mortgages, and Stop Fretting",2010-06-01T00:55:23+0000,NY_TIMES,0
23,23,Break in Protocol for a Rock Star With Putin,2010-06-01T00:57:32+0000,NY_TIMES,0
24,24,Our Epic Foolishness,2010-06-01T00:58:28+0000,NY_TIMES,0
25,25,Bloggingheads: Palin's New Neighbor,2010-06-01T01:02:25+0000,NY_TIMES,0
26,26,BP Tries Again to Divert Oil Leak With Dome,2010-06-01T01:06:01+0000,NY_TIMES,0
27,27,European Central Bank’s Report Issues Warning,2010-06-01T01:16:13+0000,NY_TIMES,0
28,28,Jamaica Strains to Fill Void Left by Gang Bosses,2010-06-01T01:16:30+0000,NY_TIMES,0
29,29,20 Questions in a Quest for Meaning,2010-06-01T01:24:34+0000,NY_TIMES,0
30,30,The Oil Plume,2010-06-01T01:29:19+0000,NY_TIMES,0
31,31,Alabama Candidate Tries Obama Coalition Style ,2010-06-01T01:40:09+0000,NY_TIMES,0
32,32,"Chinese Supercomputer Is Ranked World’s Second-Fastest, Challenging U.S. Dominance",2010-06-01T01:41:32+0000,NY_TIMES,0
33,33,"China: Earthquake Death Toll Increased",2010-06-01T01:45:06+0000,NY_TIMES,0
34,34,Iran Moves to Thwart Protests Ahead of Election Anniversary,2010-06-01T01:47:57+0000,NY_TIMES,0
35,35,"In Review, Europe Accuses China of Protectionism",2010-06-01T01:56:48+0000,NY_TIMES,0
36,36,Inquiry Faults Ex-Canadian Leader on Cash From Lobbyist,2010-06-01T01:57:57+0000,NY_TIMES,0
37,37,Bed Bod,2010-06-01T02:00:09+0000,NY_TIMES,0
38,38,Canada: Passenger on Flight Identified,2010-06-01T02:01:56+0000,NY_TIMES,0
39,39,Microsoft in Venture for Health Database in Canada,2010-06-01T02:01:59+0000,NY_TIMES,0
40,40,Sweden’s Soderling Is a Force to Be Reckoned With,2010-06-01T02:02:38+0000,NY_TIMES,0
41,41,New Way to Crown Winners in Games That End in Ties,2010-06-01T02:04:39+0000,NY_TIMES,0
42,42,"Suddenly, Duke Ends Long Road to a Title",2010-06-01T02:11:53+0000,NY_TIMES,0
43,43,Corrections,2010-06-01T02:14:55+0000,NY_TIMES,0
44,44,Banking Shares Are Looking Up,2010-06-01T02:22:26+0000,NY_TIMES,0
45,45,An American at the Bolshoi,2010-06-01T02:23:54+0000,NY_TIMES,0
46,46,Perez Has Become a Joking Matter,2010-06-01T02:24:06+0000,NY_TIMES,0
47,47,"Racing Silks in Every Color, Provided You Wear a Small",2010-06-01T02:26:03+0000,NY_TIMES,0
48,48,"Ukrainian Ex-Pat, in His Homeland, Wins World Rapid Cup",2010-06-01T02:41:50+0000,NY_TIMES,0
49,49,"Reflection, Relaxation and a Taste of Summer",2010-06-01T02:43:17+0000,NY_TIMES,0
50,50,Security Council Debates Criticism of Israeli Raid,2010-06-01T02:43:53+0000,NY_TIMES,0
51,51,This Bench Belongs in a Dugout ,2010-06-01T02:44:31+0000,NY_TIMES,0
52,52,Justices Share Devotion to Baseball,2010-06-01T02:44:34+0000,NY_TIMES,0
53,53,Young Americans Embrace Rigors of the Bolshoi ,2010-06-01T02:49:59+0000,NY_TIMES,0
54,54,American Strike Is Said to Kill a Top Qaeda Leader,2010-06-01T02:57:17+0000,NY_TIMES,0
55,55,The States of War,2010-06-01T03:09:09+0000,NY_TIMES,0
56,56,Path to Victory Starts With Reyes on Base,2010-06-01T03:17:10+0000,NY_TIMES,0
57,57,Americans at the Bolshoi,2010-06-01T03:34:01+0000,NY_TIMES,0
58,58,Lottery Numbers,2010-06-01T03:35:45+0000,NY_TIMES,0
