full_title,date
Five dead and five injured after car and minibus crash on A96 in Moray,2018
"North Korea has returned the remains of US troops killed during the Korean War, White House confirms",2018
"More than 1,800 migrant children in US reunited with family members by a court-ordered deadline, government says",2018
Former cricketer Imran Khan claims victory in Pakistan's election amid accusations of vote rigging by rivals,2018
"BBC agrees to pay Sir Cliff Richard £850,000 within 14 days to cover his legal costs after privacy ruling",2018
"Explosion reported close to the US embassy in Beijing, according to multiple eyewitness reports on social media",2018
Conservatives in US Congress start impeachment process in effort to oust Deputy Attorney General Rod Rosenstein,2018
"Scientists believe they've found liquid water on Mars for the first time, a potential game-changer in the search for life on the Red Planet",2018
Can you own a shape? Kit Kat loses its 16-year battle to trademark a four-fingered wafer bar at top EU court,2018
Suicide attacks in southern Syria kill at least 38 people - Islamic State group says it was behind the violence,2018
DUP MP Ian Paisley suspended from Commons after he failed to declare holidays paid for by Sri Lankan government,2018
"At least 74 people killed in wildfires close to Athens, Greek fire brigade official says",2018
"Israel shoots down Syrian warplane flying over its airspace in southern Golan, Israeli army says",2018
Greek PM Alexis Tsipras declares three-day period of mourning for victims of deadly wildfires in Greece,2018
"At least 60 people killed in Greece wildfires in the Attica region around Athens, local official says",2018
"Hundreds missing and an unknown number dead after dam collapses in Laos, state news agency reports",2018
Greece wildfires:  - at least 50 killed - more than 100 injured - Greece issues appeal for help - worst recorded wildfires since 2007,2018
At least 50 people now reported dead in Greece's worst wildfires in more than a decade,2018
Three men arrested in London over suspected acid attack on three-year-old boy in Worcester on Saturday,2018
"Three-year-old boy seriously injured in suspected ""deliberate"" acid attack in Worcester, England, police say",2018
"Nine of the 17 people who died when a tour boat sank in a Missouri lake were from the same family, the governor of Missouri has told US media",2018
"Novichok victim Charlie Rowley released from UK hospital, days after partner died following exposure to nerve agent",2018
"Two 15-year-old boys, who planned a Columbine-style shooting at a North Yorkshire school, sentenced to 12 years and 10 years in custody",2018
"Several people wounded in knife attack on bus in northern German city of Luebeck, reports say",2018
"Major medical records hack uncovered in Singapore, affecting 1.5m people (a third of the population) - government",2018
"The baby girl who was in the back of an Audi that was carjacked in Birmingham has been found safe and well, and will shortly be reunited with her mother, police say",2018
"Four-week-old baby girl in the back of an Audi carjacked in Birmingham, say police",2018
Police 'identify Russian suspects' in Novichok attack on ex-spy Sergei Skripal and his daughter Yulia in Salisbury,2018
"EU fines Google record 4.34bn euros ($5bn) for using Android operating system to illegally ""cement dominant position"" in internet search",2018
"BBC's Director of News, Fran Unsworth, says it is 'looking at' appealing the judgment after Sir Cliff Richard wins High Court case against the corporation",2018
"""I'm choked up. I can't believe it. It's wonderful news."" Sir Cliff Richard says after winning High Court privacy case against BBC",2018
"Sir Cliff Richard awarded £210,000 in damages after winning High Court privacy case against BBC. Judge says star is entitled to further sums to be decided at later date",2018
Sir Cliff Richard has won his High Court privacy case against the BBC over its coverage of a police raid on his home,2018
"Elon Musk apologises to British cave rescue diver in Thailand he called ""pedo guy"" for ridiculing his mini-submarine",2018
President Donald Trump says he accepts US intelligence agencies' conclusion that Russia interfered in the 2016 election - despite declining to do so just a day ago,2018
"UK government narrowly wins key Brexit vote, rejecting call to stay in a customs union in ""no-deal"" scenario",2018
"Unemployment fell by 12,000 in the three months to May to 1.41 million, official figures show",2018
Brexit campaign group Vote Leave is fined and referred to police for breaking electoral law,2018
UK government avoids defeat - by just three votes - on its Customs Bill after agreeing to Brexiteers' amendment,2018
"Victorious French World Cup team to receive their country's highest accolade, the Légion d'Honneur",2018
"""It's great to be with you""  US President Donald Trump shakes hands with Russian President Vladimir Putin ahead of talks in Helsinki   Live coverage:",2018
